	Live comments	Elapsed time	Coverage	Time	Base_p corrected BA1	Base_p corrected BA2	H2 4K BA2	H2 4K BA1	corr BA2	corr BA1	injection 100mbar	Barion_2	Barion_1	DUAL experiment	DUAL insulation	injection 1mbar	helium	T-platinum	T-CERNOX	I_emission	I_grid
720		625.0	420330716078099.6	2022-12-14 16:35:18	9.5735e-10	3.3229999999999994e-09	1.226086956521739e-07	1.2152173913043476e-07	1.226086956521739e-07	1.2152173913043476e-07	96.306	5.64e-08	5.59e-08	3.635e-08	3.481e-07	1.1	404.0	-5.163	4288.535		
721		632.0	420330716078099.6	2022-12-14 16:35:25	9.5735e-10	3.3229999999999994e-09	1.226086956521739e-07	1.2152173913043476e-07	1.226086956521739e-07	1.2152173913043476e-07	96.306	5.64e-08	5.59e-08	3.63e-08	3.481e-07	1.1	405.0	-5.163	4288.647		
722		639.0	426168642690320.44	2022-12-14 16:35:32	9.5735e-10	3.3229999999999994e-09	1.226086956521739e-07	1.2152173913043476e-07	1.226086956521739e-07	1.2152173913043476e-07	96.305	5.64e-08	5.59e-08	3.63e-08	3.481e-07	1.1	404.0	-5.275	4288.647		
723		646.0	443682422526877.0	2022-12-14 16:35:39	9.5735e-10	3.3229999999999994e-09	1.226086956521739e-07	1.2130434782608693e-07	1.226086956521739e-07	1.2130434782608693e-07	96.302	5.64e-08	5.58e-08	3.63e-08	3.485e-07	1.1	404.0	-5.275	4288.759		
724		653.0	443682422526877.0	2022-12-14 16:35:46	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.302	5.63e-08	5.58e-08	3.63e-08	3.489e-07	1.1	404.0	-5.275	4288.759		
725		660.0	443682422526877.0	2022-12-14 16:35:53	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.302	5.63e-08	5.58e-08	3.635e-08	3.485e-07	1.1	404.0	-5.275	4288.872		
726		668.0	449520349139098.0	2022-12-14 16:36:01	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.301	5.63e-08	5.58e-08	3.63e-08	3.493e-07	1.1	404.0	-5.163	4288.759		
727		675.0	455358275751318.8	2022-12-14 16:36:08	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.302	5.63e-08	5.58e-08	3.63e-08	3.493e-07	1.1	404.0	-5.163	4288.647		
728		682.0	455358275751318.8	2022-12-14 16:36:15	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.302	5.63e-08	5.58e-08	3.63e-08	3.493e-07	1.1	405.0	-5.163	4288.759		
729		689.0	455358275751318.8	2022-12-14 16:36:22	9.5735e-10	3.3229999999999994e-09	1.226086956521739e-07	1.2130434782608693e-07	1.226086956521739e-07	1.2130434782608693e-07	96.302	5.64e-08	5.58e-08	3.639e-08	3.497e-07	1.1	404.0	-5.163	4288.872		
730		696.0	455358275751318.8	2022-12-14 16:36:29	9.5735e-10	3.3229999999999994e-09	1.226086956521739e-07	1.2152173913043476e-07	1.226086956521739e-07	1.2152173913043476e-07	96.302	5.64e-08	5.59e-08	3.635e-08	3.497e-07	1.1	404.0	-5.163	4288.984		
