ASCII SAMPLE CYCLES :			primary desorption, grid opaque.mdc
DATE :	10/10/2022	TIME :	09:57:53 pm
CONVERTED CYCLES :			363
Number of stored cycles			363
Printed start cycle			1
Printed end cycle			363
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	2.00	min:	5.41951E-011	max:	4.29319E-010	
'0/1'	12.00	min:	3.12211E-012	max:	2.99482E-011	
'0/2'	14.00	min:	8.42336E-013	max:	1.54614E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/3'	15.00	min:	8.04134E-013	max:	3.58094E-011	
'0/4'	16.00	min:	7.93774E-012	max:	5.77613E-011	ABS A AND B	T_min:	5E-007	
'0/5'	18.00	min:	7.90488E-011	max:	1.15856E-010	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/6'	28.00	min:	1.16996E-011	max:	1.39434E-010	ABS A AND B	T_min:	5E-007	
'0/7'	32.00	min:	3.52664E-013	max:	5.90086E-013	ABS A	T_min:	5E-007	
'0/8'	40.00	min:	3.72538E-013	max:	1.82801E-012	ABS B	T_min:	5E-007	
'0/9'	44.00	min:	6.45608E-012	max:	4.24035E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	Threshold	'0/3'	'0/4'	Threshold	'0/5'	Threshold	'0/6'	Threshold	'0/7'	Threshold	'0/8'	Threshold	'0/9'	Threshold	
64	10/10/2022	10:09:37:24 pm	704.241	4.26528E-010	2.97034E-011	1.51925E-011	HL	3.51856E-011	5.64833E-011	L	1.14802E-010	HL	1.37583E-010	L	5.64255E-013	H	1.74489E-012	L	3.7711E-011	HL	
65	10/10/2022	10:09:48:31 pm	715.319	4.27348E-010	2.94545E-011	1.51816E-011	HL	3.53675E-011	5.67221E-011	L	1.15596E-010	HL	1.38473E-010	L	5.90086E-013	H	1.71518E-012	L	3.7631E-011	HL	
66	10/10/2022	10:09:59:40 pm	726.406	4.26769E-010	2.99482E-011	1.53375E-011	HL	3.53577E-011	5.69435E-011	L	1.14945E-010	HL	1.38457E-010	L	5.45043E-013	H	1.77146E-012	L	3.73254E-011	HL	
67	10/10/2022	10:10:10:42 pm	737.424	4.27346E-010	2.95985E-011	1.505E-011	HL	3.50389E-011	5.67976E-011	L	1.14873E-010	HL	1.38132E-010	L	5.74656E-013	H	1.75827E-012	L	3.71778E-011	HL	
68	10/10/2022	10:10:21:56 pm	748.562	4.24925E-010	2.94351E-011	1.51092E-011	HL	3.53258E-011	5.64514E-011	L	1.14799E-010	HL	1.38702E-010	L	5.41669E-013	H	1.77947E-012	L	3.71075E-011	HL	
69	10/10/2022	10:10:32:70 pm	759.701	4.2204E-010	2.91589E-011	1.51924E-011	HL	3.50695E-011	5.62086E-011	L	1.15368E-010	HL	1.3886E-010	L	5.62312E-013	H	1.73866E-012	L	3.71465E-011	HL	
70	10/10/2022	10:10:43:83 pm	770.838	4.23012E-010	2.94079E-011	1.52325E-011	HL	3.49863E-011	5.65178E-011	L	1.14283E-010	HL	1.38231E-010	L	5.55783E-013	H	1.77802E-012	L	3.70251E-011	HL	
71	10/10/2022	10:10:54:91 pm	781.915	4.24473E-010	2.94064E-011	1.51256E-011	HL	3.5028E-011	5.62842E-011	L	1.14625E-010	HL	1.38482E-010	L	5.63442E-013	H	1.75472E-012	L	3.71848E-011	HL	
72	10/10/2022	10:11:05:92 pm	792.924	4.2456E-010	2.95522E-011	1.49714E-011	HL	3.50351E-011	5.66006E-011	L	1.15856E-010	HL	1.38582E-010	L	5.44137E-013	H	1.70783E-012	L	3.72872E-011	HL	
73	10/10/2022	10:11:17:07 pm	804.071	4.23879E-010	2.9501E-011	1.52338E-011	HL	3.48592E-011	5.67226E-011	L	1.15237E-010	HL	1.38031E-010	L	5.44943E-013	H	1.75157E-012	L	3.67839E-011	HL	
